ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude
ik8,Li10(Ge0.416Sn0.584)P2S12,2,Li20.0Ge0.83Sn1.17P4.0S24.0,0.00743,,,P42/nmc ,137,8.72902,8.72902,12.7065,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,,train,0.00743,False,,0.00743,0.00743,0.00743,-2.1290111862394245,-2.1290111862394245,-2.1290111862394245
nip,Li9.81Sn0.81P2.19S12,2,Li19.62Sn1.62P4.38S24.0,0.0055,,,P42/nmc ,137,8.73764,8.73764,12.7166,90.0,90.0,90.0,LGPS,10.1107/s2052520615022283,1,D2 - 109,done,252040-ICSD,,partial occupancy corrected,,,252040.0,109.0,609.0,train,0.0055,False,,0.0055,0.0055,0.0055,-2.2596373105057563,-2.2596373105057563,-2.2596373105057563
1hh,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.012,,,P42/nmc ,137,8.69407,8.69407,12.5994,90.0,90.0,90.0,LGPS,10.1038/nmat3066,1,D2 - 110,not available,,,appendix: diffraction data available,,,,110.0,560.0,train,0.012,False,,0.012,0.012,0.012,-1.9208187539523751,-1.9208187539523751,-1.9208187539523751
8ub,Li10.5(Sn0.2Si0.8)1.5P1.5S12,2,Li21.0Sn0.6Si2.4P3.0S24.0,0.00879,,,P42/nmc ,137,8.69204,8.69204,12.6166,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,257947-ICSD,,appendix: diffraction data available,,,257947.0,111.0,,train,0.00879,False,,0.00879,0.00879,0.00879,-2.0560111249262283,-2.0560111249262283,-2.0560111249262283
7tu,Li10.2(Sn0.2Si0.8)1.2P1.8S12,2,Li20.4Sn0.48Si1.92P3.6S24.0,0.00782,,,P42/nmc ,137,8.65173,8.65173,12.5349,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,,,appendix: diffraction data available,,,257948.0,111.0,,train,0.00782,False,,0.00782,0.00782,0.00782,-2.106793246940152,-2.106793246940152,-2.106793246940152
ui6,Li10.35(Sn0.27Si1.08)P1.65S12,2,Li20.7Sn0.54Si2.16P3.3S24.0,0.011,,,P42/nmc ,137,8.67822,8.67822,12.5744,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,,,duplicated with line 204; deleted,,,257946.0,111.0,,train,0.011,False,,0.011,0.011,0.011,-1.958607314841775,-1.958607314841775,-1.958607314841775
nkr,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.00143,,,P42/nmc ,137,8.694,8.694,12.599,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.00143,False,,0.00143,0.00143,0.00143,-2.844663962534938,-2.844663962534938,-2.844663962534938
906,Li9.8Ba0.1GeP2S12,2,Li19.6Ba0.2Ge2.0P4.0S24.0,0.000561,,,P42/nmc ,137,8.716,8.716,12.728,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.000561,False,,0.000561,0.000561,0.000561,-3.251037138743839,-3.251037138743839,-3.251037138743839
fnu,Li9.6Ba0.2GeP2S12,2,Li19.2Ba0.4Ge2.0P4.0S24.0,0.000572,,,P42/nmc ,137,8.727,8.727,12.908,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.000572,False,,0.000572,0.000572,0.000572,-3.2426039712069756,-3.2426039712069756,-3.2426039712069756
pfi,Li9.4Ba0.3GeP2S12,2,Li18.8Ba0.6Ge2.0P4.0S24.0,0.000707,,,P42/nmc ,137,8.734,8.734,13.005,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.000707,False,,0.000707,0.000707,0.000707,-3.1505805862031004,-3.1505805862031004,-3.1505805862031004
f0h,Li9.2Ba0.4GeP2S12,2,Li18.4Ba0.8Ge2.0P4.0S24.0,0.000316,,,P42/nmc ,137,8.752,8.752,13.011,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.000316,False,,0.000316,0.000316,0.000316,-3.500312917381596,-3.500312917381596,-3.500312917381596
7iw,Li9Ba0.5GeP2S12,2,Li18.0Ba1.0Ge2.0P4.0S24.0,9.98e-05,,,P42/nmc ,137,8.77,8.77,13.053,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,9.98e-05,False,,9.98e-05,9.98e-05,9.98e-05,-4.000869458712629,-4.000869458712629,-4.000869458712629
ikh,Li9.6P3S12,2,Li19.2P6.0S24.0,0.0012,,,P42/nmc ,137,8.7144,8.7144,12.4677,90.0,90.0,90.0,LGPS,10.1038/nenergy.2016.30,1,D1 - 25,not available,,,appendix: diffraction data available,,,,102.0,25.0,train,0.0012,False,,0.0012,0.0012,0.0012,-2.9208187539523753,-2.9208187539523753,-2.9208187539523753
hd3,Li7GePS8,2,Li14.0Ge2.0P2.0S16.0,0.007,,,P42/nmc ,137,8.718,8.718,12.66,90.0,90.0,90.0,LGPS,10.1039/c3ee41728j,1,D2 - 251,not available,,,,,,,251.0,,train,0.007,False,,0.007,0.007,0.007,-2.154901959985743,-2.154901959985743,-2.154901959985743
ete,Li9.54Si1.74P1.44S11.7Cl0.3,2,Li19.08Si3.48P2.88S23.4Cl0.6,0.025,,,P42/nmc ,137,8.709652,8.709652,12.56907,90.0,90.0,90.0,LGPS,10.1038/nenergy.2016.30,1,D1 - 25,not available,,,appendix: diffraction data available,,,,,26.0,train,0.025,False,,0.025,0.025,0.025,-1.6020599913279623,-1.6020599913279623,-1.6020599913279623
k4x,Li10.35Si1.35P1.65S12,2,Li20.7Si2.7P3.3S24.0,0.0065,,,P42/nmc ,137,8.68385,8.68385,12.55589,90.0,90.0,90.0,LGPS,10.1107/s2052520615022283,1,D2 - 109,done,252037-ICSD,,,,,252037.0,109.0,608.0,train,0.0065,False,,0.0065,0.0065,0.0065,-2.1870866433571443,-2.1870866433571443,-2.1870866433571443
ia5,LiLaNb2O7,2,Li2.0La2.0Nb4.0O14.0,<1E-8,,,I4/mmm,139,3.8798,3.8798,20.3597,90.0,90.0,90.0,perovskites,10.1016/0925-8388(93)90192-p,1,D2 - 114,done,72566-ICSD,,,,,72566.0,114.0,,train,1e-08,True,<,1e-08,5e-09,,-8.0,-8.301029995663981,
sg0,LiScO2,4,Li4.0Sc4.0O8.0,<1E-10,,, I41/amd,141,4.1791,4.1791,9.361,90.0,90.0,90.0,oxides,10.2320/matertrans.y-m2016816,1,D2 - 117;D2 - 33,done,257819-ICSD,,ICSD request,,,257819.0,117.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
97b,Li0.9Sc0.9Zr0.1O2,4,Li3.6Sc3.6Zr0.4O8.0,<1E-10,,, I41/amd,141,4.1804,4.1804,9.4186,90.0,90.0,90.0,oxides,10.2320/matertrans.y-m2016816,1,D2 - 117,done,257820-ICSD,,ICSD request,,,257820.0,117.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
wyu,Li7La3Zr2O12,8,Li56.0La24.0Zr16.0O96.0,1.63e-06,,,I41/acd ,142,13.134,13.134,12.663,90.0,90.0,90.0,garnet,10.1016/j.jssc.2009.05.020,1,D1 - 24; D2 - 119,done,246816-ICSD,,,,,,119.0,17.0,train,1.63e-06,False,,1.63e-06,1.63e-06,1.63e-06,-5.787812395596042,-5.787812395596042,-5.787812395596042
019,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,0.000161,,, R-3c,168,8.5112,8.5112,20.8479,90.0,90.0,120.0,NASICON,10.1021/ic400577v,1,D2 - 124,done,118128-ICSD ,,,,,118128.0,124.0,,train,0.000161,False,,0.000161,0.000161,0.000161,-3.7931741239681505,-3.7931741239681505,-3.7931741239681505
yqu,Li1.2Ti1.8Al0.2(PO4)3,6,Li7.2Ti10.8Al1.2P18.0O72.0,0.00482,,, R-3,148,8.502,8.502,20.818,90.0,90.0,120.0,NASICON,10.1021/ic400577v,1,D2 - 124,done,118133-ICSD ,,"true formula for lattice params is  Li1.17(Ti1.83Al0.17)(PO4)3, IC at Li1.2",,,118133.0,124.0,,train,0.00482,False,,0.00482,0.00482,0.00482,-2.3169529617611504,-2.3169529617611504,-2.3169529617611504
95j,Li3AlH6,6,Li18.0Al6.0H36.0,1.4e-07,,, R-3,148,8.07117,8.07117,9.513,90.0,90.0,120.0,hydrides,10.1063/1.3356981,1,D1 - 727,done,96266-ICSD,,,,,96266.0,,727.0,train,1.4e-07,False,,1.4e-07,1.4e-07,1.4e-07,-6.853871964321762,-6.853871964321762,-6.853871964321762
0iv,Li4P2S6,1,Li4.0P2.0S6.0,2.38e-07,,,P-31m,162,6.075,6.075,6.595,90.0,90.0,120.0,thio-phosphate,10.1016/j.ssi.2015.10.015,1,D2 - 127,done,appendix of D2-128; 242170-ICSD,,,Yes,10.1021/acs.chemmater.6b04175,242170.0,127.0,,train,2.38e-07,False,,2.38e-07,2.38e-07,2.38e-07,-6.623423042943488,-6.623423042943488,-6.623423042943488
2ro,Li4P2S6,1,Li4.0P2.0S6.0,1.6e-10,,,P-31m,162,6.0773,6.0773,6.5985,90.0,90.0,120.0,thio-phosphate,10.1021/acs.chemmater.6b04175,1,D2 - 128,not available,,,could be deleted; glass ceramic,,,,128.0,652.0,train,1.6e-10,False,,1.6e-10,1.6e-10,1.6e-10,-9.795880017344075,-9.795880017344075,-9.795880017344075
deu,Li4.4Al0.4Ge0.6S4,2,Li8.8Al0.8Ge1.2S8.0,4.3e-05,,,P-3m1,164,7.9496,7.9496,6.1566,90.0,90.0,120.0,sulfides,10.1021/acs.chemmater.8b03175,1,D2 - 130,done,appendix,,,,,,130.0,,train,4.3e-05,False,,4.3e-05,4.3e-05,4.3e-05,-4.366531544420414,-4.366531544420414,-4.366531544420414
usu,Li4.4Al0.4Sn0.6S4,2,Li8.8Al0.8Sn1.2S8.0,4.3e-06,,,P-3m1,164,8.0184,8.0184,6.2856,90.0,90.0,120.0,sulfides,10.1021/acs.chemmater.8b03175,1,D2 - 130,done,appendix,,,,,,130.0,,train,4.3e-06,False,,4.3e-06,4.3e-06,4.3e-06,-5.366531544420414,-5.366531544420414,-5.366531544420414
ur9,LiZr2(PO4)3,6,Li6.0Zr12.0P18.0O72.0,1e-09,,,R-3c,167,8.847,8.847,22.24,90.0,90.0,120.0,NASICON,10.1016/0025-5408(86)90194-7,1,D2 -2,done,,,,,,201935.0,137.0,,train,1e-09,False,,1e-09,1e-09,1e-09,-9.0,-9.0,-9.0
0o6,Li1.2Ti1.8Sc0.2(PO4)3,6,Li7.2Ti10.8Sc1.2P18.0O72.0,9.98e-05,9.98e-05,0.00251,R-3c,167,8.527,8.527,20.924,90.0,90.0,120.0,Unknown,10.1021/acs.inorgchem.6b02274,1,D2 - 132,done,,,,,,119210.0,132.0,,train,9.98e-05,False,,9.98e-05,9.98e-05,9.98e-05,-4.000869458712629,-4.000869458712629,-4.000869458712629
a3l,LiHf2(PO4)3,6,Li6.0Hf12.0P18.0O72.0,2.83e-07,,,R-3c,167,8.824,8.824,22.04,90.0,90.0,120.0,NASICON,10.1002/chin.199345017,1,D2 -2,not available,,,,,,,2.0,,train,2.83e-07,False,,2.83e-07,2.83e-07,2.83e-07,-6.54821356447571,-6.54821356447571,-6.54821356447571
4ba,LiGe2(PO4)3,6,Li6.0Ge12.0P18.0O72.0,3.33e-07,,,R-3c,167,8.287,8.287,20.475,90.0,90.0,120.0,NASICON,10.1002/chin.199345017,1,D2 -2,done,,,Precision of IC is not good non linear extrapolation,Yes,10.1016/0022-4596(91)90134-4,69763.0,2.0,,train,3.33e-07,False,,3.33e-07,3.33e-07,3.33e-07,-6.47755576649368,-6.47755576649368,-6.47755576649368
qea,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,2e-06,,,R-3c,167,8.512,8.512,20.858,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,2e-06,False,,2e-06,2e-06,2e-06,-5.698970004336019,-5.698970004336019,-5.698970004336019
ldx,LiGe2(PO4)3,6,Li6.0Ge12.0P18.0O72.0,4.83e-09,,,R-3c,167,8.27059,8.27059,20.4652,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263767-ICSD,downloaded,,,,263767.0,133.0,,train,4.83e-09,False,,4.83e-09,4.83e-09,4.83e-09,-8.316052869248487,-8.316052869248487,-8.316052869248487
0fh,Li1.2Al0.2Ge1.8(PO4)3,6,Li7.2Al1.2Ge10.8P18.0O72.0,4.83e-05,,,R-3c,167,8.2619,8.2619,20.5656,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263760-ICSD,downloaded,,,,263760.0,133.0,,train,4.83e-05,False,,4.83e-05,4.83e-05,4.83e-05,-4.316052869248487,-4.316052869248487,-4.316052869248487
gw2,Li1.4Al0.4Ge1.6(PO4)3,6,Li8.4Al2.4Ge9.6P18.0O72.0,0.000188,,,R-3c,167,8.25565,8.25565,20.6319,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263762-ICSD,downloaded,,,,263762.0,133.0,,train,0.000188,False,,0.000188,0.000188,0.000188,-3.72584215073632,-3.72584215073632,-3.72584215073632
1xf,Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.000336,,,R-3c,167,8.25658,8.25658,20.6523,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263763-ICSD,downloaded,,,,263763.0,133.0,,train,0.000336,False,,0.000336,0.000336,0.000336,-3.473660722610156,-3.473660722610156,-3.473660722610156
tjh,Li1.7Al0.7Ge1.3(PO4)3,6,Li10.2Al4.2Ge7.8P18.0O72.0,0.000264,,,R-3c,167,8.25247,8.25247,20.6936,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263765-ICSD,downloaded,,,,263765.0,133.0,,train,0.000264,False,,0.000264,0.000264,0.000264,-3.5783960731301687,-3.5783960731301687,-3.5783960731301687
8fn,Li1.8Al0.8Ge1.2(PO4)3,6,Li10.8Al4.8Ge7.2P18.0O72.0,0.000137,,,R-3c,167,8.25004,8.25004,20.7062,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263766-ICSD,downloaded,,,,263766.0,133.0,,train,0.000137,False,,0.000137,0.000137,0.000137,-3.8632794328435933,-3.8632794328435933,-3.8632794328435933
mdj,Li1.2Ti2Si0.2P2.8O12,6,Li7.2Ti12.0Si1.2P16.8O72.0,8.6e-05,,,R-3c,167,8.518,8.518,20.848,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,8.6e-05,False,,8.6e-05,8.6e-05,8.6e-05,-4.0655015487564325,-4.0655015487564325,-4.0655015487564325
t1l,Li1.3Ti2Si0.3P2.7O12,6,Li7.8Ti12.0Si1.8P16.2O72.0,0.00032,,,R-3c,167,8.52,8.52,20.862,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00032,False,,0.00032,0.00032,0.00032,-3.494850021680094,-3.494850021680094,-3.494850021680094
my9,Li1.2Al0.2Ti1.8(PO4)3,6,Li7.2Al1.2Ti10.8P18.0O72.0,0.000595,,,R-3c,167,8.5042,8.5042,20.8252,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1016/j.solidstatesciences.2016.08.011,7932.0,134.0,,train,0.000595,False,,0.000595,0.000595,0.000595,-3.2254830342714502,-3.2254830342714502,-3.2254830342714502
9s4,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.000722,,,R-3c,167,8.5004,8.5004,20.8156,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1021/acs.chemmater.9b04419,141518.0,134.0,,train,0.000722,False,,0.000722,0.000722,0.000722,-3.141462802430361,-3.141462802430361,-3.141462802430361
iqt,Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.000388,,,R-3c,167,8.4955,8.4955,20.7992,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1016/j.ssi.2019.115192,19904.0,134.0,,train,0.000388,False,,0.000388,0.000388,0.000388,-3.4111682744057927,-3.4111682744057927,-3.4111682744057927
xa0,Li1.5Al0.5Ti1.5(PO4)3,6,Li9.0Al3.0Ti9.0P18.0O72.0,0.000248,,,R-3c,167,8.4935,8.4935,20.7994,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1016/j.ssi.2019.115192,19905.0,134.0,,train,0.000248,False,,0.000248,0.000248,0.000248,-3.6055483191737836,-3.6055483191737836,-3.6055483191737836
f4x,Li1.2Cr0.2Ti1.8(PO4)3,6,Li7.2Cr1.2Ti10.8P18.0O72.0,1.82e-05,,,R-3c,167,8.5189,8.5189,20.8643,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,1.82e-05,False,,1.82e-05,1.82e-05,1.82e-05,-4.739928612014925,-4.739928612014925,-4.739928612014925
txm,Li1.3Cr0.3Ti1.7(PO4)3,6,Li7.8Cr1.8Ti10.2P18.0O72.0,3.51e-05,,,R-3c,167,8.5203,8.5203,20.8702,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,3.51e-05,False,,3.51e-05,3.51e-05,3.51e-05,-4.454692883534176,-4.454692883534176,-4.454692883534176
v1t,Li1.4Cr0.4Ti1.6(PO4)3,6,Li8.4Cr2.4Ti9.6P18.0O72.0,0.000149,,,R-3c,167,8.522,8.522,20.88,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000149,False,,0.000149,0.000149,0.000149,-3.826813731587726,-3.826813731587726,-3.826813731587726
d6b,Li1.5Cr0.5Ti1.5(PO4)3,6,Li9.0Cr3.0Ti9.0P18.0O72.0,0.000386,,,R-3c,167,8.5218,8.5218,20.8829,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000386,False,,0.000386,0.000386,0.000386,-3.413412695328245,-3.413412695328245,-3.413412695328245
x9a,Li1.2Ga0.2Ti1.8(PO4)3,6,Li7.2Ga1.2Ti10.8P18.0O72.0,0.000162,,,R-3c,167,8.5156,8.5156,20.8451,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000162,False,,0.000162,0.000162,0.000162,-3.7904849854573692,-3.7904849854573692,-3.7904849854573692
3ta,Li1.3Ga0.3Ti1.7(PO4)3,6,Li7.8Ga1.8Ti10.2P18.0O72.0,0.000261,,,R-3c,167,8.5175,8.5175,20.8541,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000261,False,,0.000261,0.000261,0.000261,-3.583359492661719,-3.583359492661719,-3.583359492661719
gjy,Li1.4Ga0.4Ti1.6(PO4)3,6,Li8.4Ga2.4Ti9.6P18.0O72.0,0.000128,,,R-3c,167,8.5136,8.5136,20.8588,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000128,False,,0.000128,0.000128,0.000128,-3.8927900303521317,-3.8927900303521317,-3.8927900303521317
lz8,Li1.5Ga0.5Ti1.5(PO4)3,6,Li9.0Ga3.0Ti9.0P18.0O72.0,0.000122,,,R-3c,167,8.5159,8.5159,20.8419,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000122,False,,0.000122,0.000122,0.000122,-3.9136401693252516,-3.9136401693252516,-3.9136401693252516
6st,Li1.2Fe0.2Ti1.8(PO4)3,6,Li7.2Fe1.2Ti10.8P18.0O72.0,0.00018,,,R-3c,167,8.5213,8.5213,20.8648,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00018,False,,0.00018,0.00018,0.00018,-3.744727494896694,-3.744727494896694,-3.744727494896694
t9r,Li1.3Fe0.3Ti1.7(PO4)3,6,Li7.8Fe1.8Ti10.2P18.0O72.0,0.000246,,,R-3c,167,8.5262,8.5262,20.865,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000246,False,,0.000246,0.000246,0.000246,-3.6090648928966207,-3.6090648928966207,-3.6090648928966207
xr7,Li1.4Fe0.4Ti1.6(PO4)3,6,Li8.4Fe2.4Ti9.6P18.0O72.0,0.000392,,,R-3c,167,8.5301,8.5301,20.8889,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000392,False,,0.000392,0.000392,0.000392,-3.406713932979543,-3.406713932979543,-3.406713932979543
pg8,Li1.5Fe0.5Ti1.5(PO4)3,6,Li9.0Fe3.0Ti9.0P18.0O72.0,0.000174,,,R-3c,167,8.5367,8.5367,20.8932,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1039/b312865b,55751.0,134.0,,train,0.000174,False,,0.000174,0.000174,0.000174,-3.7594507517174,-3.7594507517174,-3.7594507517174
1wm,Li1.2Sc0.2Ti1.8(PO4)3,6,Li7.2Sc1.2Ti10.8P18.0O72.0,0.00069,,,R-3c,167,8.5482,8.5482,20.9418,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00069,False,,0.00069,0.00069,0.00069,-3.161150909262745,-3.161150909262745,-3.161150909262745
do2,Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000703,,,R-3c,167,8.5645,8.5645,20.985,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000703,False,,0.000703,0.000703,0.000703,-3.153044674980176,-3.153044674980176,-3.153044674980176
uaj,Li1.4Sc0.4Ti1.6(PO4)3,6,Li8.4Sc2.4Ti9.6P18.0O72.0,0.000515,,,R-3c,167,8.5651,8.5651,20.9948,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,375.0,train,0.000515,False,,0.000515,0.000515,0.000515,-3.288192770958809,-3.288192770958809,-3.288192770958809
5u3,Li1.2In0.2Ti1.8(PO4)3,6,Li7.2In1.2Ti10.8P18.0O72.0,0.00039,,,R-3c,167,8.544,8.544,20.948,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00039,False,,0.00039,0.00039,0.00039,-3.408935392973501,-3.408935392973501,-3.408935392973501
2eq,Li1.3In0.3Ti1.7(PO4)3,6,Li7.8In1.8Ti10.2P18.0O72.0,0.000393,,,R-3c,167,8.5495,8.5495,20.9586,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000393,False,,0.000393,0.000393,0.000393,-3.4056074496245734,-3.4056074496245734,-3.4056074496245734
yn6,Li1.4In0.4Ti1.6(PO4)3,6,Li8.4In2.4Ti9.6P18.0O72.0,0.000302,,,R-3c,167,8.5626,8.5626,21.0066,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000302,False,,0.000302,0.000302,0.000302,-3.5199930570428495,-3.5199930570428495,-3.5199930570428495
8jy,Li1.5In0.5Ti1.5(PO4)3,6,Li9.0In3.0Ti9.0P18.0O72.0,0.000204,,,R-3c,167,8.5695,8.5695,21.0089,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,379.0,train,0.000204,False,,0.000204,0.000204,0.000204,-3.6903698325741012,-3.6903698325741012,-3.6903698325741012
p4l,Li1.2La0.2Ti1.8(PO4)3,6,Li7.2La1.2Ti10.8P18.0O72.0,8e-05,,,R-3c,167,8.5117,8.5117,20.8537,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,8e-05,False,,8e-05,8e-05,8e-05,-4.096910013008056,-4.096910013008056,-4.096910013008056
qkr,Li1.3La0.3Ti1.7(PO4)3,6,Li7.8La1.8Ti10.2P18.0O72.0,0.000523,,,R-3c,167,8.5119,8.5119,20.8513,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000523,False,,0.000523,0.000523,0.000523,-3.281498311132726,-3.281498311132726,-3.281498311132726
e0z,Li1.4La0.4Ti1.6(PO4)3,6,Li8.4La2.4Ti9.6P18.0O72.0,0.000498,,,R-3c,167,8.5108,8.5108,20.8492,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000498,False,,0.000498,0.000498,0.000498,-3.3027706572402824,-3.3027706572402824,-3.3027706572402824
vus,Li1.5La0.5Ti1.5(PO4)3,6,Li9.0La3.0Ti9.0P18.0O72.0,0.000281,,,R-3c,167,8.5218,8.5218,20.8621,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000281,False,,0.000281,0.000281,0.000281,-3.55129368009492,-3.55129368009492,-3.55129368009492
h7r,Li(Ti1.4Sn0.6)(PO4)3,6,Li6.0Ti8.4Sn3.6P18.0O72.0,2.28e-05,,,R-3c,167,8.5491,8.5491,21.0473,90.0,90.0,120.0,NASICON,10.1016/j.physb.2011.11.006,1,D2 - 135,done,183672-ICSD,,partial occupancy corrected,,,183672.0,135.0,,train,2.28e-05,False,,2.28e-05,2.28e-05,2.28e-05,-4.642065152999546,-4.642065152999546,-4.642065152999546
9ky,Li(Ti0.6Sn1.4)(PO4)3,6,Li6.0Ti3.6Sn8.4P18.0O72.0,9.42e-06,,,R-3c,167,8.5983,8.5983,21.2868,90.0,90.0,120.0,NASICON,10.1016/j.physb.2011.11.006,1,D2 - 135,done,183676-ICSD,,partial occupancy corrected,,,183676.0,135.0,,train,9.42e-06,False,,9.42e-06,9.42e-06,9.42e-06,-5.025949097207123,-5.025949097207123,-5.025949097207123
4ea,Li(Ti0.4Sn1.6)(PO4)3,6,Li6.0Ti2.4Sn9.6P18.0O72.0,3.15e-06,,,R-3c,167,8.6121,8.6121,21.3574,90.0,90.0,120.0,NASICON,10.1016/j.physb.2011.11.006,1,D2 - 135,done,183677-ICSD,,partial occupancy corrected,,,183677.0,135.0,,train,3.15e-06,False,,3.15e-06,3.15e-06,3.15e-06,-5.501689446210399,-5.501689446210399,-5.501689446210399
